age	weight								
24	12.67076								
24.5	12.74154								
25.5	12.88102								
26.5	13.01842								
27.5	13.1545								
28.5	13.2899								
29.5	13.42519								
30.5	13.56088								
31.5	13.69738								
32.5	13.83505								
33.5	13.97418								
34.5	14.11503								
35.5	14.2578								
36.5	14.40263								
37.5	14.54965								
38.5	14.69893								
39.5	14.85054								
40.5	15.00449								
41.5	15.16078								
42.5	15.3194								
43.5	15.4803								
44.5	15.64343								
45.5	15.80873								
46.5	15.9761								
47.5	16.14548								
48.5	16.31677								
49.5	16.48986								
50.5	16.66468								
51.5	16.8411								
52.5	17.01904								
53.5	17.19839								
54.5	17.37906								
55.5	17.56096								
56.5	17.744								
57.5	17.92809								
58.5	18.11316								
59.5	18.29912								
60.5	18.48592								
61.5	18.6735								
62.5	18.8618								
63.5	19.05077								
64.5	19.24037								
65.5	19.43058								
66.5	19.62136								
67.5	19.8127								
68.5	20.00459								
69.5	20.19703								
70.5	20.39002								
71.5	20.58357								
72.5	20.7777								
73.5	20.97243								
74.5	21.16779								
75.5	21.36383								
76.5	21.56058								
77.5	21.75811								
78.5	21.95645								
79.5	22.15567								
80.5	22.35584								
81.5	22.55702								
82.5	22.7593								
83.5	22.96273								
84.5	23.16742								
85.5	23.37343								
86.5	23.58086								
87.5	23.78979								
88.5	24.00031								
89.5	24.21251								
90.5	24.42648								
91.5	24.64231								
92.5	24.8601								
93.5	25.07992								
94.5	25.30189								
95.5	25.52607								
96.5	25.75257								
97.5	25.98146								
98.5	26.21284								
99.5	26.44679								
100.5	26.68339								
101.5	26.92273								
102.5	27.16489								
103.5	27.40995								
104.5	27.65797								
105.5	27.90904								
106.5	28.16324								
107.5	28.42064								
108.5	28.6813								
109.5	28.9453								
110.5	29.21271								
111.5	29.48359								
112.5	29.758								
113.5	30.03602								
114.5	30.3177								
115.5	30.60311								
116.5	30.8923								
117.5	31.18533								
118.5	31.48225								
119.5	31.78312								
120.5	32.08799								
121.5	32.3969								
122.5	32.70991								
123.5	33.02704								
124.5	33.34835								
125.5	33.67387								
126.5	34.00363								
127.5	34.33766								
128.5	34.67599								
129.5	35.01864								
130.5	35.36562								
131.5	35.71695								
132.5	36.07263								
133.5	36.43266								
134.5	36.79704								
135.5	37.16577								
136.5	37.53881								
137.5	37.91616								
138.5	38.29777								
139.5	38.68361								
140.5	39.07364								
141.5	39.46781								
142.5	39.86604								
143.5	40.26828								
144.5	40.67444								
145.5	41.08443								
146.5	41.49817								
147.5	41.91555								
148.5	42.33644								
149.5	42.76073								
150.5	43.18828								
151.5	43.61896								
152.5	44.05259								
153.5	44.48903								
154.5	44.92809								
155.5	45.3696								
156.5	45.81336								
157.5	46.25917								
158.5	46.70681								
159.5	47.15606								
160.5	47.60669								
161.5	48.05847								
162.5	48.51113								
163.5	48.96443								
164.5	49.4181								
165.5	49.87187								
166.5	50.32546								
167.5	50.77859								
168.5	51.23096								
169.5	51.68229								
170.5	52.13226								
171.5	52.58059								
172.5	53.02696								
173.5	53.47107								
174.5	53.91261								
175.5	54.35128								
176.5	54.78677								
177.5	55.21878								
178.5	55.64701								
179.5	56.07116								
180.5	56.49096								
181.5	56.90611								
182.5	57.31634								
183.5	57.72139								
184.5	58.121								
185.5	58.51492								
186.5	58.90293								
187.5	59.2848								
188.5	59.66033								
189.5	60.02932								
190.5	60.39159								
191.5	60.74699								
192.5	61.09537								
193.5	61.4366								
194.5	61.77057								
195.5	62.09719								
196.5	62.41639								
197.5	62.72809								
198.5	63.03228								
199.5	63.32892								
200.5	63.61802								
201.5	63.89959								
202.5	64.17367								
203.5	64.44032								
204.5	64.69961								
205.5	64.95165								
206.5	65.19653								
207.5	65.4344								
208.5	65.6654								
209.5	65.8897								
210.5	66.10749								
211.5	66.31897								
212.5	66.52437								
213.5	66.7239								
214.5	66.91784								
215.5	67.10642								
216.5	67.28993								
217.5	67.46863								
218.5	67.64281								
219.5	67.81277								
220.5	67.97877								
221.5	68.14111								
222.5	68.30005								
223.5	68.45585								
224.5	68.60872								
225.5	68.75889								
226.5	68.90653								
227.5	69.05176								
228.5	69.19467								
229.5	69.33527								
230.5	69.47351								
231.5	69.60926								
232.5	69.74228								
233.5	69.87224								
234.5	69.99869								
235.5	70.12104								
236.5	70.23857								
237.5	70.3504								
238.5	70.45546								
239.5	70.55252								
240	70.59761								
